"Index","First Name","Last Name","Date Of Birth","Height","Weight","Small Shirt Size","Medium Shirt Size","Large Shirt Size","Hair Color"
"0762","Natascha","Otth","09.04.1927","175","67","","X","","Red"
,"Delia","Schindler",,,,,
"0763","Yannik","Bertozzi","06.01.1968","174","88","","X","","Blonde"
"0764","Luc","Müller","22.01.1964","175","89","","X","","Blonde"
"0765","Matthew","Dublanc","13.11.1960","189","108","","","X","Red"
"0766","Emanuel","Gentina","20.03.42","174","67","","X","","Blonde"
"0767","Jona","Hasler","15.06.88","170","85","","X","","Black"
,"Massimiliano","Kuster",,,,,
"0768","Leandra","Greiner-Tschudi","12.05.1930","181","84","","X","","Brown"
"0769","Luc","Walpoth","27.05.1961","177","66","","X","","Red"
"0770","Aicha","Rufer","20.02.1978","182","87","","X","","Brown"
"0771","Paul","Strassmann","04.01.1948","175","79","","X","","Black"
"0772","Calvin","Beytekin","30.01.1953","163","67","X","","","Black"
"0773","Salome","Jordi","23.12.1918","174","71","","X","","Red"
"0774","STEPHANIE","Bagattini","08.06.1907","169","70","","X","","Brown"
"0775","Iris","Ziltener","10.01.1925","171","67","","X","","Grey"
"0776","Labinot","Seiler","22.12.1928","174","71","","X","","Red"
,"Valentine","Winizki",,,,,
"0777","TIMOTHÉE","Kleger","23.04.1959","170","67","","X","","Black"
"0778","Ardian","Schmid","29.04.00","177","76","","X","","Gray"
"0779","Marta","Rusterholz","11.10.1942","182","87","","X","","Red"
,"Leonora","Meury",,,,,
"0780","Janina","Röhricht","15.04.1953","192","85","","","X","Blonde"
"0781","Emanuele","Guggenbühl","01.05.1916","179","77","","X","","Brown"
,"Felicia","Suter Reich",,,,,
"0782","Arthur","Streich","04.06.1929","179","82","","X","","Red"
"0783","Georg","Kircali","20.06.1971","181","102","","X","","Black"
"0784","Samuele","Bourgeois","21.01.1994","183","67","","","X","Red"
"0785","Azra","Siev","04.04.1989","179","77","","X","","Red"
"0786","André","von Siebenthal","02.09.1987","174","82","","X","","Brown"
"0787","Kristin","Käppeli","12.03.1962","181","96","","X","","Blonde"
"0788","Lorene","Benz","22.10.1968","181","66","","X","","Grey"
"0789","MYRIAM","Schoder","22.04.1921","163","69","X","","","Brown"
"0790","Leroy","Wiesmann","03.12.1956","162","57","X","","","Blonde"
"0791","Tiziana","Roth","10.08.1909","185","90","","","X","Grey"
"0792","Thomas","Kromer Kübler","26.01.1999","174","61","","X","","Grey"
"0793","Dafina","Güler","28.08.1926","173","82","","X","","Red"
,"Ivo","Bösch",,,,,
"0794","Steven","Rabelbauer","28.08.1906","165","67","X","","","Brown"
"0795","Gamze","Rauser","11.01.37","178","84","","X","","Grey"
"0796","Filipe","Rolle","19.06.1983","169","60","","X","","Black"
"0797","Rina","Vogelbacher","03.11.1973","178","98","","X","","Grey"
"0798","Lucas","Michlig","30.04.1913","183","90","","","X","Blonde"
"0799","Natascha","Marchand","04.10.1982","177","89","","X","","Grey"
,"Besart","Merz-Tanören",,,,,
"0800","Aurelie","Kälin","31.08.1994","175","75","","X","","Black"
,"Flamur","Faist",,,,,
"0801","Lauriane","Angst","07.02.1914","171","76","","X","","Red"
"0802","Giulio","Gutierrez","15.06.1997","160","58","X","","","Black"
"0803","Ralph","Epprecht","09.09.1949","178","92","","X","","Grey"
"0804","Kelly","Widmer-Urfer","20.01.1985","171","86","","X","","Brown"
"0805","Dino","Graf Füchslin","13.02.1972","176","81","","X","","Blonde"
"0806","Emre","Gerber","03.04.1920","177","86","","X","","Red"
"0807","Soraia","Gambaro","21.09.1999","173","68","","X","","Blonde"
"0808","Arbenita","Eberle","13.05.1977","172","74","","X","","Blonde"
"0809","Nemanja","Zahner","04.05.1960","173","78","","X","","Brown"
"0810","Kevin","Stäheli","09.09.1976","186","93","","","X","Blonde"
,"Niklas","Vogel",,,,,
"0811","Alberto","Obrist","19.12.1967","174","83","","X","","Red"
"0812","Marisa","Virag Jansen","11.07.1972","179","89","","X","","Blonde"
"0813","PATRICIA","Oeschger","21.02.1988","165","79","X","","","Blonde"
"0814","Quirin","Ruch","12.07.05","177","77","","X","","Blonde"
"0815","Gresa","Fäh","17.01.1909","172","87","","X","","Blonde"
,"Nikola","Engesser",,,,,
"0816","Aimée","Lauer","09.10.1910","176","84","","X","","Brown"
,"Liridona","Schwab",,,,,
"0817","Nadin","Dominguez","19.11.1930","184","97","","","X","Blonde"
"0818","Nevena","Winizki","24.09.53","165","78","X","","","Blonde"
"0819","Valentino","Wahlen-Lattner","14.10.1957","166","72","X","","","Grey"
"0820","Larissa","Winiger","05.11.1942","170","73","","X","","Blonde"
"0821","MICHAELA","Schelling","05.12.1941","179","72","","X","","Blonde"
"0822","Sabine","Meloni","19.07.1944","170","74","","X","","Brown"
"0823","ROMANA","Fehlmann","24.12.1942","176","98","","X","","Red"
,"Niels","Grob",,,,,
"0824","Fatlum","Pfister","04.10.1936","173","72","","X","","Blonde"
"0825","Janice","Garcia","17.02.1904","174","76","","X","","Black"
"0826","Lucia","Egli Kyburz","21.08.1919","168","86","","X","","Grey"
"0827","LUCIEN","Brack","14.11.1917","181","81","","X","","Brown"
"0828","Filipe","Züst-Gericke","06.06.1910","181","78","","X","","Blonde"
"0829","Mariano","Peske","04.08.1930","170","75","","X","","Red"
"0830","Malik","Rutherfoord","03.09.1903","177","92","","X","","Grey"
"0831","Iris","Strub Bleisch","04.01.53","172","65","","X","","Blonde"
"0832","Matthew","Akyol","18.11.1953","182","99","","X","","Blonde"
"0833","Katrin","Fritzsche","18.10.1904","178","85","","X","","Grey"
"0834","Merlin","Faga","20.03.1966","165","66","X","","","Blonde"
"0835","Peter","Regli","04.01.1991","178","62","","X","","Blonde"
"0836","Boris","Kleisli","08.07.1904","195","99","","","X","Blonde"
"0837","Albin","Grob","12.12.1901","162","73","X","","","Red"
"0838","Mael","Nicolussi","22.11.1945","172","67","","X","","Blonde"
"0839","Margaux","Schiller","12.09.1970","174","81","","X","","Red"
"0840","Alexander","Jenny","22.02.1923","167","69","X","","","Red"
"0841","Estelle","Schleifer","09.02.1927","173","70","","X","","Blonde"
"0842","Yael","Wiesmann","28.07.1979","176","75","","X","","Blonde"
"0843","Zilan","Seitler","03.10.1967","172","72","","X","","Grey"
,"Christopher","Maggi",,,,,
"0844","Vlora","Merz-Tanören","23.06.1967","178","69","","X","","Black"
"0845","Bastian","Bührig","23.10.1990","180","70","","X","","Brown"
"0846","Muriel","Ruch","14.04.1905","176","68","","X","","Red"
"0847","Aischa","Hensch Frei","10.01.1941","174","74","","X","","Black"
,"Simon","Schaub",,,,,
"0848","Milica","Hari-Ott","21.10.1937","175","92","","X","","Brown"
"0849","Eduardo","Praxmarer","01.05.1921","170","70","","X","","Brown"
"0850","Solène","Müller Rusch","24.07.66","173","65","","X","","Red"
"0851","Nadia","Frei","06.01.1997","176","85","","X","","Black"
"0852","Danaë","Hürner","22.09.1910","178","73","","X","","Brown"
"0853","Mary","Higi","25.12.1970","163","59","X","","","Brown"
,"Marta","Rusterholz",,,,,
"0854","Emine","Kohler","10.05.1940","181","75","","X","","Blonde"
"0855","Hilal","Babini","13.08.1990","167","64","X","","","Black"
"0856","DAPHNE","Karakus","02.07.1940","173","83","","X","","Blonde"
,"Swen","Grieder-Martens",,,,,
"0857","Özge","Binggeli Schommer","15.08.1971","172","75","","X","","Grey"
,"Georg","Kircali",,,,,
"0858","Noa","Schmid","05.01.05","173","72","","X","","Red"
"0859","Adnan","Stäheli","20.05.1925","177","72","","X","","Grey"
"0860","Pablo","Wyttenbach","19.10.1960","182","80","","X","","Red"
"0861","GENTIANA","Samter","23.04.1914","177","76","","X","","Grey"
"0862","Duncan","Stettler","11.10.1990","173","72","","X","","Red"
"0863","Michele","Nerlich","12.12.1918","183","89","","","X","Red"
"0864","Morgane","Cavegn","23.04.1932","174","84","","X","","Black"
"0865","Angelo","Gutmann","01.08.1978","174","82","","X","","Red"
"0866","Can","Singer","28.12.1981","174","90","","X","","Grey"
"0867","Nikola","Schönenberger","16.10.1928","168","66","","X","","Black"
"0868","Silvio","Gähler","31.05.1993","169","86","","X","","Black"
"0869","Samuel","Schwarz","29.11.51","177","86","","X","","Brown"
"0870","Sina","Meloni","08.10.1957","185","92","","","X","Grey"
"0871","Dajana","Witzig","20.06.02","167","71","X","","","Red"
"0872","Cynthia","Grob","03.12.1966","172","76","","X","","Red"
"0873","Gresa","Wälle","29.09.1904","183","93","","","X","Blonde"
"0874","Rina","Weyermann","05.08.1968","177","63","","X","","Blonde"
"0875","Alison","Kleinhans","28.10.1942","174","63","","X","","Brown"
"0876","Raoul","Ruh","24.07.1982","187","89","","","X","Black"
"0877","Cheryl","Ott Hari","31.05.1957","179","81","","X","","Blonde"
,"Ahmed","Gredig",,,,,
"0878","Liv","Gerth","27.08.1904","165","70","X","","","Blonde"
"0879","Georgia","Falusi","06.10.1953","184","99","","","X","Blonde"
"0880","Leroy","Marshall Okolie","23.08.1970","189","89","","","X","Brown"
"0881","Yaren","Claude","23.11.1907","178","68","","X","","Grey"
"0882","Yves","Brugger-Wendelspiess","17.07.1902","160","73","X","","","Grey"
"0883","DAJANA","Anderegg Kovarik","10.12.1971","174","66","","X","","Grey"
"0884","MARCEL","Scotoni Berger","04.09.1943","176","80","","X","","Grey"
"0885","Audrey","Strub Bleisch","17.08.1926","187","89","","","X","Grey"
"0886","Camille","Marty","18.02.75","179","89","","X","","Black"
"0887","ELSA","Brunschweiler","07.05.1999","172","62","","X","","Black"
"0888","Moreno","Arnold","18.11.1915","170","74","","X","","Blonde"
"0889","Sébastien","Wyttenbach","19.01.1937","172","72","","X","","Grey"
"0890","VALERIO","van der Waerden Hrusovszky","20.09.1921","182","87","","X","","Blonde"
"0891","Haris","Jäger","15.11.1959","163","56","X","","","Blonde"
"0892","Stefanie","Cassee","26.10.1934","186","83","","","X","Red"
"0893","Ilija","Greco","08.02.1972","170","60","","X","","Blonde"
"0894","Sylvain","Rauser","05.02.1982","174","73","","X","","Brown"
"0895","Allison","Epprecht","18.10.1994","173","69","","X","","Black"
"0896","Jeffrey","Bär","19.03.1940","183","85","","","X","Brown"
"0897","Robin","Danner","21.09.1971","185","79","","","X","Brown"
,"Vincent","Bigger",,,,,
"0898","Myriam","Wettstein","31.05.35","179","90","","X","","Blonde"
"0899","Lucia","Wyttenbach","24.01.1911","168","71","","X","","Grey"
"0900","Viviane","Grieder-Martens","19.06.1982","160","60","X","","","Brown"
"0901","Yoan","Bourgeois","26.02.1929","177","70","","X","","Gray"
"0902","Tina","Fehlmann","05.07.1907","164","79","X","","","Red"
"0903","Jannik","Flüeler","24.01.32","181","82","","X","","Brown"
"0904","Labinot","Berke","29.08.1903","184","88","","","X","Black"
"0905","Julius","Trunz","05.02.1942","173","86","","X","","Blonde"
"0906","MARIANO","Illi","07.01.1970","171","63","","X","","Grey"
"0907","Maxime","Inderbitzin","16.12.1947","181","85","","X","","Blonde"
"0908","Lorenzo","Ponti-Weder","15.01.1923","176","75","","X","","Brown"
"0909","Fatlum","Wernli","29.12.1982","182","100","","X","","Brown"
"0910","Jonas","Hofmann","16.09.1924","179","85","","X","","Brown"
"0911","Jannik","Reich","14.04.1972","177","78","","X","","Black"
"0912","Majlinda","Rothenfluh","25.10.1985","179","77","","X","","Blonde"
"0913","Nancy","Ulcay","22.06.93","172","80","","X","","Red"
"0914","Sanja","Schindler","28.08.1918","173","72","","X","","Blonde"
,"Lilian","Merki",,,,,
"0915","Devin","Malla","28.07.1946","177","83","","X","","Blonde"
"0916","Robert","Traber","24.01.1974","179","69","","X","","Blonde"
"0917","Loredana","Spaar-Bessire","04.07.47","167","69","X","","","Brown"
"0918","Delia","Leutenegger","22.01.1981","177","84","","X","","Black"
"0919","Dana","Gross","05.02.1988","177","90","","X","","Black"
"0920","TRACY","Haller","14.03.1930","170","67","","X","","Brown"
"0921","Merve","Amzai","09.06.1988","172","57","","X","","Grey"
,"Osman","Gisler",,,,,
"0922","Nico","Wagner","18.04.1924","174","61","","X","","Blonde"
"0923","KILIAN","Riser","05.09.1954","155","68","X","","","Red"
"0924","Ariana","Kobler","08.12.1966","172","65","","X","","Grey"
"0925","MIKA","Winteler","24.04.1995","172","64","","X","","Red"
"0926","Sydney","Lukas-Umbricht","20.08.1938","182","84","","X","","Grey"
"0927","Roy","Ackermann","05.06.1951","185","70","","","X","Red"
"0928","Armend","Schwarz","27.06.1941","186","86","","","X","Blonde"
"0929","Marigona","Salvisberg","23.11.1974","180","70","","X","","Brown"
"0930","Danielle","Pavone","21.05.1912","177","81","","X","","Brown"
"0931","Leila","Frei","15.03.1921","177","64","","X","","Black"
"0932","Zoe","Alder","10.02.1906","173","71","","X","","Grey"
"0933","Levin","Oeschger","18.11.1900","175","91","","X","","Black"
"0934","Violeta","Keim","21.09.1907","159","72","X","","","Brown"
"0935","BRIAN","Stocker","01.07.1957","181","74","","X","","Blonde"
"0936","Noa","Schiwow","27.02.1938","165","76","X","","","Red"
"0937","Alen","Büchi","08.10.1989","171","84","","X","","Blonde"
"0938","Maurizio","Furrer","16.06.1969","180","81","","X","","Blonde"
"0939","Laura","Blumenthal","04.07.1956","164","57","X","","","Red"
"0940","Anika","Nicolussi","03.05.1954","185","80","","","X","Red"
,"Damian","Tröndle",,,,,
"0941","Leonie","Zimmermann","08.06.1984","167","56","X","","","Black"
,"Adnan","Stäheli",,,,,
"0942","Alexandra","Diggelmann","25.08.1925","176","62","","X","","Blonde"
"0943","Antonin","Zschokke-Gohl","02.06.1996","181","104","","X","","Grey"
"0944","Edison","Markarian","21.01.1976","178","82","","X","","Brown"
"0945","Arnaud","Burger","15.10.1946","173","76","","X","","Blonde"
"0946","Silvana","Geissbühler","10.04.1935","174","73","","X","","Black"
"0947","Levi","Lanker","16.08.1975","179","74","","X","","Black"
"0948","Timothée","Tumay","23.05.1991","175","78","","X","","Grey"
,"Leo","Rösch",,,,,
"0949","Mathias","Samter","07.05.1972","183","105","","","X","Grey"
"0950","Antonella","Dünki","28.04.1923","174","78","","X","","Brown"
"0951","Ariana","Ryf","17.04.1927","165","73","X","","","Black"
"0952","Laila","Campanello","01.05.1912","177","86","","X","","Brown"
"0953","Romano","Capraro","25.04.1910","174","81","","X","","Brown"
"0954","Helene","Bruderer","31.01.1959","169","79","","X","","Grey"
"0955","Clea","Cotardo","10.08.1990","183","89","","","X","Brown"
"0956","Simon","Siegenthaler","13.06.1968","165","67","X","","","Black"
,"Gresa","Wälle",,,,,
"0957","Besmir","Negro","21.06.1982","183","90","","","X","Red"
"0958","Siro","Baumer","30.05.1957","177","93","","X","","Grey"
,"Luan","Gentina",,,,,
"0959","JULIAN","Maritz","06.08.1984","176","79","","X","","Grey"
"0960","Regula","Spiess","25.06.1915","177","79","","X","","Red"
"0961","Georgia","Gass","08.03.1967","166","69","X","","","Red"
"0962","Moreno","Lerch","28.05.1928","172","66","","X","","Grey"
"0963","Mustafa","Riniker","12.04.1991","178","101","","X","","Brown"
"0964","Natasa","Bazzell","17.04.1905","173","85","","X","","Red"
"0965","Cinzia","Egli Kyburz","12.09.1926","180","73","","X","","Red"
,"Yves","Brugger-Wendelspiess",,,,,
"0966","Vincenzo","Stählin","19.10.1918","174","80","","X","","Blonde"
"0967","Fabio","Sanz","25.07.1921","174","82","","X","","Grey"
"0968","Simone","Keim","14.08.1918","172","69","","X","","Brown"
"0969","Cornel","Brugger","16.11.1926","173","77","","X","","Blonde"
"0970","Simona","Meloni","24.11.1947","167","67","X","","","Blonde"
"0971","Timothy","Schoder","22.07.1996","174","74","","X","","Brown"
"0972","Jovana","Nikolic Singer","01.04.1954","187","79","","","X","Black"
,"Gillian","Roose",,,,,
"0973","Liv","Güntensperger-Alioth","27.04.1951","177","86","","X","","Black"
"0974","Arian","Santos Quadrio Neves-Demiroglu","30.10.1973","173","80","","X","","Black"
"0975","Yvan","Schwarz","14.02.1921","163","72","X","","","Grey"
"0976","Andrijana","Barbadimos","07.02.1964","167","83","X","","","Black"
"0977","Serge","Düsel","28.01.1942","185","73","","","X","Blonde"
"0978","Mladen","Brunner","12.09.1953","169","75","","X","","Blonde"
"0979","Tim","Tappeiner","14.01.1912","168","68","","X","","Red"
"0980","Nadège","Egloff","20.05.1961","169","75","","X","","Black"
"0981","Tania","Bielmann","31.05.1990","169","85","","X","","Grey"
"0982","Leandra","Gitermann","31.03.1909","178","60","","X","","Red"
"0983","FABRIZIO","Reichlin","11.11.1903","186","76","","","X","Grey"
"0984","Emma","Capraro","27.10.69","172","74","","X","","Brown"
"0985","Pietro","Schaub","12.07.1951","182","81","","X","","Blonde"
"0986","Cornel","Müller Rusch","10.03.27","168","72","","X","","Brown"
"0987","Urs","Zschokke-Gohl","13.05.1947","169","63","","X","","Black"
"0988","Nenad","Kleinhans","09.08.1918","179","65","","X","","Brown"
"0989","Arbnor","Salvisberg","16.09.1956","168","69","","X","","Grey"
"0990","Olivier","Bollag","10.04.1934","160","64","X","","","Blonde"
"0991","Didier","Loup","27.01.1943","166","75","X","","","Grey"
"0992","Gioele","Meuli","17.01.1952","163","67","X","","","Red"
"0993","Anouk","Weber Andenmatten","05.05.1912","179","63","","X","","Brown"
"0994","Monika","Otth","08.11.1939","174","92","","X","","Red"
"0995","Anna","Brack","03.02.1970","178","74","","X","","Red"
"0996","Kenza","Maloberti","27.10.17","177","98","","X","","Brown"
"0997","Lilian","Dübendorfer","04.07.1901","168","60","","X","","Red"
"0998","ARBNOR","Yetergil Kiefer","16.05.1976","164","65","X","","","Brown"
"0999","Clara","Wernli","27.03.1912","166","66","X","","","Grey"
"1000","Dani","Herger","16.07.1929","156","63","X","","","Red"
